iter	Accuracy	Logloss
228	0.8489574803	0.3548572366
229	0.8489574803	0.3546509504
230	0.8486650826	0.3545353646
231	0.8486650826	0.3544583764
232	0.8483726849	0.3541811979
233	0.8480802873	0.3541076021
234	0.8477878896	0.3539283639
235	0.8480802873	0.3537145264
236	0.8483726849	0.3536199696
237	0.8483726849	0.3533328843
238	0.8489574803	0.3531815445
239	0.8489574803	0.353076507
240	0.8492498779	0.3529553198
241	0.8492498779	0.3527794864
242	0.8489574803	0.3524532677
243	0.8489574803	0.3524526178
244	0.8489574803	0.3521727625
245	0.8486650826	0.3516925662
246	0.8486650826	0.3513759911
247	0.8489574803	0.3513440692
248	0.8486650826	0.3512066803
249	0.8486650826	0.3509998116
250	0.8498333069	0.3508213856
251	0.8498333069	0.3506839668
252	0.8501257045	0.35041886
253	0.8501257045	0.3499704921
254	0.8498333069	0.3497156745
255	0.8498333069	0.3493228701
256	0.8498333069	0.3492241931
257	0.8498333069	0.3490985271
258	0.8498333069	0.348912867
259	0.8498333069	0.3487289468
260	0.8498333069	0.3485674956
261	0.8510015312	0.3483603496
262	0.8510015312	0.3482352993
263	0.8507091335	0.348140482
264	0.8510015312	0.3479812745
265	0.8507091335	0.3477486601
266	0.8510015312	0.3474666621
267	0.8510015312	0.3472947123
268	0.8510015312	0.3471438097
269	0.8512939288	0.3469463538
270	0.8512939288	0.3466678787
271	0.8512939288	0.3463617002
272	0.8512939288	0.3461930548
273	0.8510015312	0.3458194409
274	0.8510015312	0.3456007158
275	0.8510015312	0.3455973145
276	0.8515863265	0.3455435421
277	0.8512939288	0.3452487343
278	0.8512939288	0.3450512282
279	0.8512939288	0.3448126352
280	0.8512939288	0.3446920815
281	0.8512939288	0.3445866847
282	0.8512939288	0.3443071536
283	0.8512939288	0.3441523114
284	0.8512939288	0.3441225414
285	0.8512939288	0.3439714452
286	0.8512939288	0.3437727678
287	0.8512939288	0.3437385496
288	0.8512939288	0.3436938018
289	0.8512939288	0.3435697086
290	0.8512939288	0.3432400675
291	0.8512939288	0.3430210854
292	0.8512939288	0.3429031338
293	0.8512939288	0.3426916464
294	0.8512939288	0.34239529
295	0.8512939288	0.3423013569
296	0.8512939288	0.3421655082
297	0.8512939288	0.3421522718
298	0.8512939288	0.34200307
299	0.8512939288	0.3417870855
300	0.8512939288	0.3415414981
301	0.8515863265	0.3412966249
302	0.8512939288	0.3410275242
303	0.8512939288	0.3409909324
304	0.8515863265	0.3409125698
305	0.8515863265	0.3408806267
306	0.8515863265	0.3407519136
307	0.8515863265	0.340677398
308	0.8515863265	0.3405311473
309	0.8515863265	0.3403956958
310	0.8515863265	0.3402965894
311	0.8515863265	0.3402192501
312	0.8515863265	0.3401837335
313	0.8515863265	0.3398638458
314	0.8515863265	0.3395567389
315	0.8515863265	0.3394670453
316	0.8512939288	0.3391989689
317	0.8512939288	0.3391962704
318	0.8512939288	0.3389570659
319	0.8512939288	0.338791995
320	0.8512939288	0.3386841021
321	0.8512939288	0.3384644634
